city_project_id,budget_book_context_record_ids,budget_book_record_count,activity_id,master_project_id,comparison_status,match_method,budget_book_status,core_status,budget_book_project_name,core_project_name,observed_at_utc
WTR-24-0001.3_E Arbor Heights_West Phase I,,0,tpa-0ad909da2ce40b,mp-2ca438d94cc8b9d1,core_capital_only,no_exact_identifier_match,,60% Design Completion,,East Arbor Heights_West Phase I,2026-08-28T04:55:51+00:00
WTR-24-0001.4_Hampton Terrace A,,0,tpa-377970771c9316,mp-8b80751cb1d3d03f,core_capital_only,no_exact_identifier_match,,90% Design Completion,,Hampton Terrace Project A,2026-08-28T04:55:51+00:00
WTR-24-0001.4_Hampton Terrace B,,0,tpa-4b41720cf754c6,mp-cd84b4a520bce7b1,core_capital_only,no_exact_identifier_match,,60% Design Completion,,Hampton Terrace Project B,2026-08-28T04:55:51+00:00
WTR-24-0009,,0,tpa-4334e855629a9e;tpa-baacbee6eacaf0,mp-3effa5c8d8265d7f;mp-42787e2e1d98f74f,core_capital_only,no_exact_identifier_match,,,,,2026-08-28T04:55:51+00:00
WTR-24-0010,,0,tpa-72f4a0c1feefc0,mp-2a99f2a3835a5c8f,core_capital_only,no_exact_identifier_match,,Consultant/Contractor Selection Process,,Peter O Knight Project,2026-08-28T04:55:51+00:00
WTR-24-0011,,0,tpa-1ea3e05b83e7c2,mp-605980ac0e97ada0,core_capital_only,no_exact_identifier_match,,30% Design Completion,,Coachman Ave,2026-08-28T04:55:51+00:00
WTR-24-0018,,0,tpa-9d34844c6ba829,mp-5a2a3ae3d4495a8b,core_capital_only,no_exact_identifier_match,,Permitting/Submittals Approval,,Empedrado St,2026-08-28T04:55:51+00:00
WTR-25-0002,,0,tpa-939fdc9d884da6,mp-91a92d1350504053,core_capital_only,no_exact_identifier_match,,30% Design Completion,,SE Lake Carroll WM Replacement,2026-08-28T04:55:51+00:00
WTR-25-0003,,0,tpa-67961e1f4e58b9;tpa-afd81dcef4c512,mp-758a35aad6a2697a;mp-bb2f2f78c46fe575,core_capital_only,no_exact_identifier_match,,,,,2026-08-28T04:55:51+00:00
WTR-25-0004,,0,tpa-ea50201a8b064c,mp-70de023036835fee,core_capital_only,no_exact_identifier_match,,30% Design Completion,,South Howard Water Improvement Project,2026-08-28T04:55:51+00:00
WTR-25-0006,,0,tpa-37c22d5ebd6c37,mp-fdf47a94069373c5,core_capital_only,no_exact_identifier_match,,60% Design Completion,,Louisiana Ave Water Pipe Replacement,2026-08-28T04:55:51+00:00
